#OTU ID	merged242	merged66	merged242	merged187	merged19	merged187	merged19	merged187	merged364	Label
taxonomy	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	
IBD.6	0.00339558573854	0.00339558573854	0.00339558573854	0.00169779286927	0.00169779286927	0.00169779286927	0.00169779286927	0.00169779286927	0.00169779286927	0
IBD.60	0.0	0.0	0.0	0.0118764845606	0.0118764845606	0.0118764845606	0.0118764845606	0.0118764845606	0.0118764845606	0
IBD.61	0.0	0.0	0.0	0.0251655629139	0.0251655629139	0.0251655629139	0.0251655629139	0.0251655629139	0.0251655629139	0
IBD.68	0.00403225806452	0.00403225806452	0.00403225806452	0.0618279569892	0.0618279569892	0.0618279569892	0.0618279569892	0.0618279569892	0.0618279569892	0
IBD.70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
IBD.8	0.00769230769231	0.00769230769231	0.00769230769231	0.0278846153846	0.0278846153846	0.0278846153846	0.0278846153846	0.0278846153846	0.0278846153846	0
IBD.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
neg.01	0.0	0.0	0.0	0.0621118012422	0.0621118012422	0.0621118012422	0.0621118012422	0.0621118012422	0.0621118012422	1
neg.02	0.017094017094	0.017094017094	0.017094017094	0.017094017094	0.017094017094	0.017094017094	0.017094017094	0.017094017094	0.017094017094	1
neg.03	0.0174496644295	0.0174496644295	0.0174496644295	0.0268456375839	0.0268456375839	0.0268456375839	0.0268456375839	0.0268456375839	0.0268456375839	1
neg.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
neg.05	0.0	0.0	0.0	0.203808543489	0.203808543489	0.203808543489	0.203808543489	0.203808543489	0.203808543489	1
neg.06	0.0327868852459	0.0327868852459	0.0327868852459	0.0368852459016	0.0368852459016	0.0368852459016	0.0368852459016	0.0368852459016	0.0368852459016	1
neg.07	0.00139275766017	0.00139275766017	0.00139275766017	0.025069637883	0.025069637883	0.025069637883	0.025069637883	0.025069637883	0.025069637883	1
neg.08	0.0	0.0	0.0	0.0418760469012	0.0418760469012	0.0418760469012	0.0418760469012	0.0418760469012	0.0418760469012	1
neg.09	0.0	0.0	0.0	0.116903633491	0.116903633491	0.116903633491	0.116903633491	0.116903633491	0.116903633491	1
neg.10	0.0	0.0	0.0	0.0474683544304	0.0474683544304	0.0474683544304	0.0474683544304	0.0474683544304	0.0474683544304	1
neg.11	0.010970464135	0.010970464135	0.010970464135	0.00253164556962	0.00253164556962	0.00253164556962	0.00253164556962	0.00253164556962	0.00253164556962	1
neg.12	0.000780031201248	0.000780031201248	0.000780031201248	0.0198907956318	0.0198907956318	0.0198907956318	0.0198907956318	0.0198907956318	0.0198907956318	1
neg.13	0.0203180212014	0.0203180212014	0.0203180212014	0.0371024734982	0.0371024734982	0.0371024734982	0.0371024734982	0.0371024734982	0.0371024734982	1
neg.14	0.0313901345291	0.0313901345291	0.0313901345291	0.00560538116592	0.00560538116592	0.00560538116592	0.00560538116592	0.00560538116592	0.00560538116592	1
neg.15	0.00911458333333	0.00911458333333	0.00911458333333	0.01953125	0.01953125	0.01953125	0.01953125	0.01953125	0.01953125	1
neg.16	0.0032967032967	0.0032967032967	0.0032967032967	0.0703296703297	0.0703296703297	0.0703296703297	0.0703296703297	0.0703296703297	0.0703296703297	1
neg.17	0.00662739322533	0.00662739322533	0.00662739322533	0.0611192930781	0.0611192930781	0.0611192930781	0.0611192930781	0.0611192930781	0.0611192930781	1
neg.18	0.00111111111111	0.00111111111111	0.00111111111111	0.0777777777778	0.0777777777778	0.0777777777778	0.0777777777778	0.0777777777778	0.0777777777778	1
neg.19	0.0104438642298	0.0104438642298	0.0104438642298	0.00783289817232	0.00783289817232	0.00783289817232	0.00783289817232	0.00783289817232	0.00783289817232	1
