Sample_ID	otu1	otu2	otu3	otu4	otu5	otu6	otu7	otu8	otu9	otu10	Class
taxonomy	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Rubrivivax; s__Rubrivivax gelatinosus	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Xenorhabdus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	k__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera; s__	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__	NA
USygt15.M.418634	2.15679	0	139.65186	0	0	0	0.2696	4698.2876	0	0.5392	0
h208M.1.418731	0.32947	1.31787	93.23957	0	0	1.97681	0	2.63575	0	0.98841	1
h60M.1.418694	0.43643	0.43643	95.57912	8.72869	0.43643	0	0	404.1382	0	1.74574	1
h101M.1.418586	1.04706	0.52353	27.22362	0	0.52353	3.66472	896.80897	108.89449	0	1.04706	1
h257M.1.418454	0.25258	0.25258	97.24438	0	0	0	0	248.28889	2.27325	0.25258	1
h235M.1.418489	0	0	76.81155	594.53011	0	1.30189	0	0.43396	0	0.43396	1
h279M.1.418530	0	0	119.36383	148.7156	0	3.26131	0	0	0.65226	0	1
USygt54.F.418487	0.28086	2.24686	140.70941	0	0	0	0	2900.69223	0.28086	0	0
USygt52.F.418555	0	3.41964	230.04854	0	0	0	0.31088	607.14163	0	0.93263	0
USygt9.F.418438	0.29289	0.58579	341.22262	0	0	0	0	3961.69713	0.29289	0.87868	0
USygt45.F.418753	0	0.84113	50.04734	0	0	0	1.2617	5.04679	0	0.42057	0
USygt45.M.418662	3.21338	2.5707	109.89747	0	0	0	0.64268	11.56816	0.64268	0	0
USygt37.F.418676	0.76132	1.14198	125.61803	0	0	0	3.42595	503.23343	0	1.14198	0
USygt54.M.418445	0.25924	0.25924	138.95077	0	0	0	1.55542	936.88076	0	0.25924	0
USygt27.F.418639	0.30093	0.30093	329.81953	0	0	0	0.60186	442.36743	8.42605	0	0
USygt47.M.418401	89.07341	0.35487	186.6638	0	0	0	6.74261	53274.4151	0.35487	0	0
USygt46.F.418450	2.2064	0	159.4911	0	0	0	0.6304	2595.35519	0	0	0
USygt47.F.418643	0.28451	0	248.0906	0	0	0	3.12958	4796.5132	0.56902	0	0
USygt53.F.418830	2.98833	0	29.88326	0	0	0	3.58599	1825.86729	0	0.59767	0
USygt44.M.418360	1.48308	0	60.06457	0	0	0	5.9323	7.04461	0	1.11231	0
USygt50.F.418499	0	0	355.19562	0	0	0	9.13099	1540.3985	0.30437	0.60873	0
Amz7eldM.418423	0	16.91654	199.49845	0	0	0	0	1.16666	0	0	1
Amz30adlt.418837	0.89633	2.689	37.42188	543.84974	1.3445	0	0	613.09142	0.44817	0.67225	1
Amz4adltF.418711	0	0.71624	26.50086	2280.50658	0.71624	0	0	27.2171	0	0	1
Amz5teenF.418519	0.38825	0	38.43669	1993.66043	1.553	0.38825	0	1.94125	0	0	1
h9M.1.418588	0.54743	0	169.70474	5.47435	0	4.92691	0	44.34221	0	0	1
h85M.1.418596	0	0	237.19425	45.89612	0.77136	0.77136	0	0	0	0	1
h95M.1.418831	0	0	153.2641	303.53281	0.49923	3.99385	0	1.99693	0	0.99846	1
h78M.1.418725	0	0	227.7032	0	0	5.43769	0	0.67971	0	0	1
Amz2adltF.418633	0	0	89.03099	47.60073	0	0.88149	0	0	0	1.76299	1
Amz6eldF.418597	0	0	93.96975	75.1758	0	1.04411	0	2.08822	0	1.04411	1
USygt22.M.418388	4.88135	0	92.3018	0	0	0	1.77503	5066.39257	0	0	0
USygt38.F.418465	0	1.42501	308.15825	0	0	0	0.35625	1307.08971	0	0.35625	0
USygt26.M.418352	0.42174	0	55.66924	0	0	0	0.42174	1875.46311	0	0	0
USygt38.M.418740	2.31203	0	128.89572	0	0	0	0	4.62406	2.31203	0	0
USygt31.M.418440	0	0	9.69048	0	0	0	0	21738.97222	0	0	0
